"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-YGL256W",18828.0477963403,4.00294361024142,0.300851796525173,13.3053671491255,2.15432261435537e-40,3.31345326978657e-38
"gene-YDL215C",64475.8561562603,-3.28438178997408,0.247651990498882,-13.262085167811,3.84066173350761e-40,5.76647925988072e-38
"gene-YMR107W",53557.7522648356,-5.03307375481887,0.381076225122508,-13.2075249596084,7.93922053797268e-40,1.16429592354548e-37
"gene-YOL052C-A",8945.62225188139,-2.86018297420073,0.217865042524292,-13.1282326942461,2.26889987141184e-39,3.25174604298252e-37
"gene-YNL308C",39738.0420264721,3.32056954664102,0.253073721924697,13.1209574877516,2.4975925229096e-39,3.49995965543732e-37
"gene-YMR120C",55108.1085394584,4.41628829735193,0.337238295815677,13.0954531325402,3.49581754089046e-39,4.79230987235984e-37
"gene-YGR043C",28636.9999044852,-3.41810267420501,0.263136989994166,-12.9898220477508,1.3975162309971e-38,1.87505050056761e-36
"gene-YOR051C",23660.4413332462,3.41626396833948,0.263310152387673,12.9742964232906,1.71160796223892e-38,2.24862496039138e-36
"gene-YNL065W",2220.38577717298,3.84478338761763,0.296994396268357,12.9456428670916,2.48672809648367e-38,3.20026681151552e-36
"gene-YDL214C",4679.33956771092,-3.46763923131569,0.268707686864068,-12.9048754495434,4.22498064892828e-38,5.32854559442835e-36
"gene-YOL084W",14376.2334168014,-2.82361712610879,0.220264884633592,-12.8191887272719,1.28033115866181e-37,1.58309182088654e-35
"gene-YHL032C",22559.5556431108,-2.86697793578556,0.224263997064313,-12.7839420206329,2.01587324787676e-37,2.44463398098286e-35
"gene-YIL119C",1873.09463753518,3.19939028263939,0.250690376392944,12.7623179185168,2.66161407828469e-37,3.16681856182326e-35
"gene-YPL265W",29345.3810691723,-2.92618505509763,0.230754436490543,-12.6809481958435,7.54140098804548e-37,8.80668048715088e-35
"gene-YMR014W",16407.0876506433,3.24239291798411,0.256894582784939,12.6214919864562,1.60746619739015e-36,1.84303306195314e-34
"gene-YPL147W",24431.0081112191,-4.25223083891242,0.339400483488947,-12.5286528622488,5.20390928348963e-36,5.85997356101529e-34
"gene-YKR009C",29634.107979391,-4.42800377217077,0.355223318965805,-12.4654084789885,1.15279562357559e-35,1.27535600039784e-33
"gene-YLR197W",78474.8085602234,3.00862542697954,0.241647081753791,12.4504935261124,1.38983077041093e-35,1.51108152382954e-33
"gene-YAL035W",188347.260446421,2.52778310574792,0.204553397395575,12.3575708735825,4.43352317614778e-35,4.73860968623523e-33
"gene-YIL160C",7172.51362795339,-4.02207290192316,0.326341452612541,-12.3247379997983,6.66597834380058e-35,7.00594323933441e-33
"gene-YDR344C",898.423611721366,3.80715598998079,0.30934838557404,12.3070174842389,8.30353140058572e-35,8.58394573968747e-33
"gene-YAR015W",33119.803051454,3.51987743881642,0.286896269449202,12.268815643975,1.33187249830275e-34,1.35464322166082e-32
"gene-YDR119W-A",14079.0233883558,-4.04056937254294,0.33047372616054,-12.2265979189525,2.24130583658457e-34,2.2434404135718e-32
"gene-YLR359W",72937.2810328994,3.87192446856061,0.317343088312327,12.2010675863528,3.06775193179299e-34,3.02269432529478e-32
